time,lux_level
2022-05-15 08:43:58,10.83
2022-05-15 13:56:28,3.33
2022-05-15 14:36:28,5.0
2022-05-15 15:41:28,1.25
2022-05-15 20:58:59,0.0
2022-05-16 05:23:59,0.0
2022-05-16 11:21:29,339.17
2022-05-16 15:18:59,336.25
2022-05-16 15:28:59,334.17
2022-05-16 15:36:29,332.08
2022-05-16 15:46:29,332.92
2022-05-16 15:51:29,332.92
2022-05-16 15:58:59,330.83
2022-05-16 16:03:59,333.33
2022-05-16 16:11:29,332.92
2022-05-16 16:18:59,333.33
2022-05-16 16:33:59,333.33
2022-05-16 16:41:29,334.58
2022-05-16 16:46:29,333.75
2022-05-16 16:51:29,335.83
2022-05-16 16:58:59,330.42
2022-05-16 17:06:29,329.17
2022-05-16 17:13:59,327.92
2022-05-16 17:21:29,331.67
2022-05-16 17:28:59,326.67
2022-05-16 17:36:29,330.83
2022-05-16 17:41:29,329.58
2022-05-16 17:48:59,327.5
2022-05-16 17:56:29,327.5
2022-05-16 18:03:59,327.92
2022-05-16 18:08:59,327.08
2022-05-16 18:16:29,327.08
2022-05-16 18:21:29,325.42
2022-05-16 18:23:59,327.92
2022-05-16 18:28:59,329.17
2022-05-16 18:36:29,327.08
2022-05-16 18:43:59,328.33
2022-05-16 18:51:29,328.75
2022-05-16 18:58:59,327.92
2022-05-16 19:03:59,328.75
2022-05-16 19:06:29,330.0
2022-05-16 19:11:29,329.17
2022-05-16 19:13:59,328.75
2022-05-16 19:18:59,328.75
2022-05-16 19:26:29,330.0
2022-05-16 19:33:59,327.92
2022-05-16 19:43:59,329.58
2022-05-16 19:51:29,330.0
2022-05-16 19:58:59,329.17
2022-05-16 20:06:29,328.33
2022-05-16 20:13:59,328.33
2022-05-16 20:21:29,329.17
2022-05-16 20:23:59,7.92
2022-05-16 20:28:59,0.0
2022-05-16 20:31:29,0.0
2022-05-16 20:36:29,0.0
2022-05-16 20:38:59,0.0
2022-05-16 20:43:59,0.0
2022-05-16 20:46:29,0.0
2022-05-16 20:51:29,0.0
2022-05-16 20:53:59,0.0
2022-05-16 20:58:59,0.0
2022-05-16 21:06:29,0.0
2022-05-16 21:13:59,0.0
2022-05-16 21:16:29,0.0
2022-05-16 21:21:29,0.0
2022-05-16 21:28:59,0.0
2022-05-16 21:31:29,0.0
2022-05-16 21:36:29,0.0
2022-05-16 21:43:59,0.0
2022-05-16 21:51:29,0.0
2022-05-16 21:56:29,0.0
2022-05-16 21:58:59,0.0
2022-05-16 22:03:59,0.0
2022-05-16 22:06:29,0.0
2022-05-16 22:11:29,0.0
2022-05-16 22:13:59,0.0
2022-05-16 22:18:59,0.0
2022-05-16 22:26:29,0.0
2022-05-16 22:33:59,0.0
2022-05-16 22:38:59,0.0
2022-05-16 22:41:29,0.0
2022-05-16 22:48:59,0.0
2022-05-16 22:51:29,0.0
2022-05-16 22:56:29,0.0
2022-05-16 23:03:59,0.0
2022-05-16 23:06:29,0.0
2022-05-16 23:11:29,0.0
2022-05-16 23:18:59,0.0
2022-05-16 23:26:29,0.0
2022-05-16 23:31:29,7.92
2022-05-16 23:33:59,7.5
2022-05-16 23:38:59,0.0
2022-05-16 23:41:29,0.0
2022-05-16 23:46:29,0.0
2022-05-16 23:48:59,0.0
2022-05-16 23:53:59,0.0
2022-05-16 23:58:59,0.0
