time,pressure_level
2022-05-22 15:55:53,746.32
2022-05-22 16:00:53,746.3
2022-05-22 16:03:23,746.34
2022-05-22 16:08:23,746.33
2022-05-22 16:10:53,746.27
2022-05-22 16:13:23,746.32
2022-05-22 16:15:53,746.36
2022-05-22 16:18:23,746.34
2022-05-22 16:23:23,746.42
2022-05-22 16:25:53,746.45
2022-05-22 16:28:23,746.48
2022-05-22 16:30:53,746.47
2022-05-22 16:38:23,746.46
2022-05-22 16:40:53,746.45
2022-05-22 16:45:53,746.53
2022-05-22 16:48:23,746.54
2022-05-22 16:53:23,746.63
2022-05-22 16:55:53,746.67
2022-05-22 16:58:23,746.64
2022-05-22 17:00:53,746.66
2022-05-22 17:03:23,746.7
2022-05-22 17:08:23,746.7
2022-05-22 17:15:53,746.79
2022-05-22 17:18:23,746.86
2022-05-22 17:23:23,746.89
2022-05-22 17:25:53,746.93
2022-05-22 17:30:53,747.03
2022-05-22 17:33:23,747.05
2022-05-22 17:38:23,747.05
2022-05-22 17:40:55,747.07
2022-05-22 17:45:53,747.07
2022-05-22 17:53:23,747.16
2022-05-22 17:55:53,747.19
2022-05-22 17:58:23,747.14
2022-05-22 18:00:53,747.19
2022-05-22 18:03:23,747.19
2022-05-22 18:08:23,747.27
2022-05-22 18:10:53,747.41
2022-05-22 18:13:23,747.41
2022-05-22 18:15:53,747.52
2022-05-22 18:18:23,747.56
2022-05-22 18:20:53,747.61
2022-05-22 18:23:23,747.66
2022-05-22 18:28:23,747.66
2022-05-22 18:30:53,747.65
2022-05-22 18:33:23,747.66
2022-05-22 18:35:53,747.69
2022-05-22 18:38:23,747.73
2022-05-22 18:40:53,747.74
2022-05-22 18:43:23,747.7
2022-05-22 18:45:53,747.76
2022-05-22 18:48:23,747.81
2022-05-22 18:50:53,747.92
2022-05-22 18:53:23,747.89
2022-05-22 18:55:53,747.98
2022-05-22 18:58:23,748.02
2022-05-22 19:00:53,748.01
2022-05-22 19:05:53,748.06
2022-05-22 19:08:23,748.08
2022-05-22 19:10:53,748.08
2022-05-22 19:13:23,748.11
2022-05-22 19:15:53,748.13
2022-05-22 19:18:23,748.15
2022-05-22 19:20:53,748.17
2022-05-22 19:23:23,748.21
2022-05-22 19:25:53,748.25
2022-05-22 19:28:23,748.29
2022-05-22 19:30:53,748.26
2022-05-22 19:33:23,748.22
2022-05-22 19:35:53,748.22
2022-05-22 19:38:23,748.28
2022-05-22 19:40:53,748.27
2022-05-22 19:43:23,748.3
2022-05-22 19:45:53,748.3
2022-05-22 19:48:23,748.22
2022-05-22 19:50:53,748.27
2022-05-22 19:53:23,748.23
2022-05-22 19:55:53,748.2
2022-05-22 19:58:23,748.18
2022-05-22 20:00:53,748.16
2022-05-22 20:03:23,748.16
2022-05-22 20:05:53,748.12
2022-05-22 20:08:23,748.17
2022-05-22 20:10:53,748.22
2022-05-22 20:13:23,748.23
2022-05-22 20:15:53,748.26
2022-05-22 20:18:23,748.27
2022-05-22 20:20:53,748.3
2022-05-22 20:23:23,748.39
2022-05-22 20:25:53,748.38
2022-05-22 20:28:23,748.42
2022-05-22 20:30:53,748.36
2022-05-22 20:33:23,748.34
2022-05-22 20:35:53,748.34
2022-05-22 20:38:23,748.43
2022-05-22 20:40:53,748.48
2022-05-22 20:43:23,748.57
2022-05-22 20:45:53,748.57
2022-05-22 20:48:23,748.55
2022-05-22 20:50:53,748.56
2022-05-22 20:53:23,748.62
2022-05-22 20:58:23,748.63
2022-05-22 21:00:53,748.56
