time,hum_level
2022-05-25 10:18:25,46.87
2022-05-25 10:20:55,46.82
2022-05-25 10:23:25,46.84
2022-05-25 10:28:25,46.52
2022-05-25 10:30:55,46.34
2022-05-25 10:33:25,46.2
2022-05-25 10:35:55,46.08
2022-05-25 10:38:25,46.0
2022-05-25 10:48:25,45.41
2022-05-25 10:55:55,45.08
2022-05-25 10:58:26,44.96
2022-05-25 11:03:25,44.77
2022-05-25 11:05:55,44.78
2022-05-25 11:08:25,44.53
2022-05-25 11:13:25,44.55
2022-05-25 11:23:25,44.45
2022-05-25 11:25:55,44.36
2022-05-25 11:28:25,44.27
2022-05-25 11:30:55,44.17
2022-05-25 11:35:55,44.03
2022-05-25 11:45:55,43.46
2022-05-25 11:48:25,43.29
2022-05-25 11:50:55,43.2
2022-05-25 11:53:25,43.2
2022-05-25 11:58:25,43.12
2022-05-25 12:00:55,43.04
2022-05-25 12:03:25,43.02
2022-05-25 12:05:55,42.91
2022-05-25 12:08:25,42.99
2022-05-25 12:13:25,42.96
2022-05-25 12:15:55,42.9
2022-05-25 12:18:25,43.01
2022-05-25 12:20:55,42.91
2022-05-25 12:23:25,42.87
2022-05-25 12:25:55,42.82
2022-05-25 12:28:25,42.68
2022-05-25 12:33:25,42.55
2022-05-25 12:35:55,42.47
2022-05-25 12:38:25,42.47
2022-05-25 12:40:55,42.48
2022-05-25 12:43:25,42.42
2022-05-25 12:45:55,42.35
2022-05-25 12:48:25,42.32
2022-05-25 12:50:55,42.33
2022-05-25 12:53:25,42.28
2022-05-25 12:55:55,42.31
2022-05-25 13:00:55,42.18
2022-05-25 13:03:25,42.03
2022-05-25 13:05:55,41.91
2022-05-25 13:08:25,41.84
2022-05-25 13:10:55,41.8
2022-05-25 13:13:25,41.74
2022-05-25 13:15:55,41.73
2022-05-25 13:18:25,41.66
2022-05-25 13:20:55,41.6
2022-05-25 13:23:25,41.52
2022-05-25 13:28:25,41.45
2022-05-25 13:30:55,41.39
2022-05-25 13:33:25,41.33
2022-05-25 13:35:55,41.31
2022-05-25 13:38:25,41.25
2022-05-25 13:40:55,41.14
2022-05-25 13:43:25,41.11
2022-05-25 13:45:55,41.08
2022-05-25 13:48:25,41.03
2022-05-25 13:50:55,41.01
2022-05-25 13:55:55,41.0
2022-05-25 13:58:25,41.01
2022-05-25 14:00:55,41.0
2022-05-25 14:03:25,40.98
2022-05-25 14:05:55,41.01
2022-05-25 14:08:25,40.99
2022-05-25 14:10:55,40.95
2022-05-25 14:13:25,40.89
2022-05-25 14:15:55,40.85
2022-05-25 14:18:25,40.92
2022-05-25 14:20:55,40.94
2022-05-25 14:23:25,40.97
2022-05-25 14:25:55,40.98
2022-05-25 14:28:25,41.04
2022-05-25 14:30:55,41.04
2022-05-25 14:33:25,41.24
2022-05-25 14:35:55,41.2
2022-05-25 14:38:25,41.2
2022-05-25 14:40:55,41.21
2022-05-25 14:43:25,41.18
2022-05-25 14:45:55,41.13
2022-05-25 14:48:25,41.13
2022-05-25 14:50:55,41.11
2022-05-25 14:58:25,40.79
2022-05-25 15:00:55,40.73
2022-05-25 15:03:25,40.77
2022-05-25 15:05:55,40.81
2022-05-25 15:08:25,40.86
2022-05-25 15:10:55,40.88
2022-05-25 15:13:25,40.89
2022-05-25 15:15:55,40.97
2022-05-25 15:18:25,41.03
2022-05-25 15:20:55,41.04
2022-05-25 15:23:25,41.04
2022-05-25 15:25:55,40.97
2022-05-25 15:28:25,40.85
2022-05-25 15:30:55,40.77
2022-05-25 15:33:25,40.69
2022-05-25 15:35:55,40.64
2022-05-25 15:38:25,40.5
2022-05-25 15:40:55,40.4
2022-05-25 15:43:25,40.3
2022-05-25 15:45:55,40.22
2022-05-25 15:48:25,40.16
2022-05-25 15:50:55,40.09
2022-05-25 15:53:25,40.02
2022-05-25 15:55:55,39.98
2022-05-25 15:58:25,39.97
2022-05-25 16:00:55,39.94
2022-05-25 16:03:25,39.98
2022-05-25 16:05:55,40.07
2022-05-25 16:08:25,40.02
2022-05-25 16:10:55,40.02
